tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
0,0,0,0,Fold1,NaN,0,0,0,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
0,0,0,0,Fold1,NaN,0,0,0,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
362,176,222,146,Fold1,0.5607064017660044,0.3967391304347826,0.6728624535315985,0.5348007919831905,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
362,176,222,146,Fold1,0.5607064017660044,0.3967391304347826,0.6728624535315985,0.5348007919831905,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
362,176,222,146,Fold1,0.5607064017660044,0.3967391304347826,0.6728624535315985,0.5348007919831905,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
362,176,222,146,Fold1,0.5607064017660044,0.3967391304347826,0.6728624535315985,0.5348007919831905,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
362,176,222,146,Fold1,0.5607064017660044,0.3967391304347826,0.6728624535315985,0.5348007919831905,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
362,176,222,146,Fold1,0.5607064017660044,0.3967391304347826,0.6728624535315985,0.5348007919831905,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
377,161,213,155,Fold1,0.58719646799117,0.421195652173913,0.7007434944237918,0.5609695732988524,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
377,161,213,155,Fold1,0.58719646799117,0.421195652173913,0.7007434944237918,0.5609695732988524,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
377,161,213,155,Fold1,0.58719646799117,0.421195652173913,0.7007434944237918,0.5609695732988524,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
377,161,213,155,Fold1,0.58719646799117,0.421195652173913,0.7007434944237918,0.5609695732988524,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
377,161,213,155,Fold1,0.58719646799117,0.421195652173913,0.7007434944237918,0.5609695732988524,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
377,161,213,155,Fold1,0.58719646799117,0.421195652173913,0.7007434944237918,0.5609695732988524,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
401,137,234,134,Fold1,0.5905077262693157,0.3641304347826087,0.7453531598513011,0.5547417973169549,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
401,137,234,134,Fold1,0.5905077262693157,0.3641304347826087,0.7453531598513011,0.5547417973169549,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
401,137,234,134,Fold1,0.5905077262693157,0.3641304347826087,0.7453531598513011,0.5547417973169549,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
401,137,234,134,Fold1,0.5905077262693157,0.3641304347826087,0.7453531598513011,0.5547417973169549,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
401,137,234,134,Fold1,0.5905077262693157,0.3641304347826087,0.7453531598513011,0.5547417973169549,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
401,137,234,134,Fold1,0.5905077262693157,0.3641304347826087,0.7453531598513011,0.5547417973169549,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
390,148,213,155,Fold1,0.6015452538631346,0.421195652173913,0.724907063197026,0.5730513576854696,winehq,nb,smote,repeatedcv5x2,Accuracy,100,long_description,365,fL,0,usekernel,TRUE,144,1
