Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2018-12-13,Sé,-23.55,-46.6333,194993,68,42,26,18,11,21,16,10,NORMAL
2019-2-23,Sé,-23.55,-46.6333,191649,17,11,5,1,32,39,2,21,REABASTECER
2018-7-5,Sé,-23.55,-46.6333,192877,28,31,16,36,9,32,23,43,NORMAL
2018-10-22,Sé,-23.55,-46.6333,194843,19,49,59,40,28,31,39,28,NORMAL
2019-8-26,Sé,-23.55,-46.6333,193903,42,29,10,23,32,24,20,34,NORMAL
2018-9-7,Brás,-23.5451,-46.6162,71017,2,27,49,13,19,23,36,3,NORMAL
2019-5-26,Sé,-23.55,-46.6333,194314,42,40,65,16,23,25,13,18,NORMAL
2018-3-24,Brás,-23.5451,-46.6162,71771,21,51,16,37,16,41,5,43,NORMAL
2019-2-21,Brás,-23.5451,-46.6162,72816,14,4,51,35,24,43,38,22,NORMAL
2018-5-9,Brás,-23.5451,-46.6162,73845,35,35,31,5,43,39,33,30,REABASTECER
2019-12-8,Sé,-23.55,-46.6333,193682,86,65,29,30,33,3,31,43,REABASTECER
2018-12-23,Brás,-23.5451,-46.6162,72347,86,55,49,41,43,7,25,35,NORMAL
2018-2-20,Barra Funda,-23.5542,-46.6707,148348,23,31,65,32,5,40,5,19,NORMAL
2019-5-30,Brás,-23.5451,-46.6162,72199,74,23,26,35,43,34,23,30,NORMAL
2018-12-16,Brás,-23.5451,-46.6162,73879,71,32,38,20,26,33,11,20,NORMAL
2018-9-8,Barra Funda,-23.5542,-46.6707,150341,58,14,41,21,16,35,40,32,NORMAL
2019-3-18,Brás,-23.5451,-46.6162,70622,13,49,65,39,38,39,20,12,NORMAL
2019-12-21,Brás,-23.5451,-46.6162,73028,67,59,36,32,17,26,43,4,NORMAL
2018-3-8,Barra Funda,-23.5542,-46.6707,150437,16,6,65,25,23,23,19,30,NORMAL
2018-3-10,Barra Funda,-23.5542,-46.6707,148058,86,59,46,17,13,22,11,21,NORMAL
2018-3-12,Barra Funda,-23.5542,-46.6707,149689,68,40,34,13,2,11,2,16,REABASTECER
2018-4-25,Barra Funda,-23.5542,-46.6707,150503,79,49,65,6,13,13,43,7,REABASTECER
2019-8-22,Brás,-23.5451,-46.6162,71138,49,20,38,8,4,26,39,17,NORMAL
2018-7-21,Barra Funda,-23.5542,-46.6707,149679,7,55,37,30,6,5,16,11,NORMAL
2019-11-28,Brás,-23.5451,-46.6162,73501,34,65,42,7,15,6,7,13,REABASTECER
2018-1-26,Barra Funda,-23.5542,-46.6707,146809,7,50,34,22,23,32,32,26,NORMAL
2018-1-10,Tatuapé,-23.5402,-46.5765,67971,86,65,5,28,1,14,9,12,REABASTECER
2018-1-16,Tatuapé,-23.5402,-46.5765,68640,23,30,32,7,21,4,21,27,REABASTECER
2018-11-13,Tatuapé,-23.5402,-46.5765,67322,86,65,16,26,7,31,15,43,NORMAL
2019-4-8,Barra Funda,-23.5542,-46.6707,150164,17,17,65,16,31,43,34,35,NORMAL
2018-2-5,Tatuapé,-23.5402,-46.5765,70596,6,30,10,43,19,35,21,35,NORMAL
2018-3-2,Tatuapé,-23.5402,-46.5765,70918,73,17,18,2,14,29,10,15,NORMAL
